ID,TOTAL HOURS
1211281,10.5
63524,25.9
1208144,33.3
1211641,25.4
1212220,22.3
11001246,9.2
11002184,22.4
2008415,20.9
926163,27.7
953276,23.7
1212009,25.3
1210246,26.0
1211312,19.2
14000115,30.3
2003624,26.1
11006287,23.3
2007624,22.2
2001198,17.1
11000675,28.1
1211823,24.8
462379422,24.8
11000348,29.7
11001124,15.0
11001764,18.4
11002043,11.5
2001511,30.2
11001970,27.9
11001770,33.1
1211635,20.1
4115843,15.3
4116254,18.2
1212178,10.4
11006143,14.3
1211660,20.2
1214316,22.9
11003255,20.1
11001891,10.8
1211612,17.2
11008121,19.0
1211452,19.9
4112126,19.3
11001678,21.5
14001180,27.3
11009054,18.7
4113419,11.0
14000929,20.9
1214402,13.4
1214025,2.5
11001685,19.7
11000898,17.4
1211100,18.4
1214026,24.5
901926,19.0
11005897,3.9
11000528,16.6
11002329,10.7
11001667,11.5
7000878,26.2
11001730,29.2
11001690,29.5
11000864,12.8
11001883,20.9
1212241,17.9
11001621,12.3
11012070,16.9
1212104,17.2
4112395,26.4
1210644,19.0
1212927,17.0
1214571,5.0
11001889,20.5
11000431,5.6
67055,2.0
11009227,8.5
1212169,23.7
11000873,8.2
931844,31.6
11000420,2.9
907780,16.2
2007453,19.0
2003646,17.8
11008518,9.7
905051,15.5
931790,25.8
4111175,26.6
1214467,29.9
11001329,5.4
4114713,16.9
4111492,18.8
4111053,14.7
11001703,22.7
11005086,10.0
2008135,15.7
4111100,24.9
11001771,25.6
11001136,1.7
931616,16.8
1100402,0.0
11007072,28.2
4114192,15.0
11001999,12.0
11001624,16.7
11002284,14.8
4112276,14.3
11000641,8.0
1210307,10.3
931781,16.6
1210365,4.0
1214632,11.6
1214110,4.7
11008402,12.6
1210393,6.8
2004201,15.2
1209528,12.8
1632194,0.0
14002684,8.9
14002497,2.7
907409,11.5
109225185,18.1
1211565,11.3
1826389878240401,2.1
305365280,11.9
11009511,12.4
11000516,18.3
2002047,9.6
4114795,12.3
2001993,1.2
14002479,8.3
11000637,10.0
121214801,0.0
11000932,8.0
905287,3.6
11007001,7.7
7385400808,0.3
11007273,9.9
11007426,2.0
4111318,11.8
4112223,9.5
32786,0.1
363682,7.8
45665,0.6
1209914,1.4
3315611,0.3
83176,0.0
11001715,0.0
11008374,5.2
385971,3.5
44115843,1.8
1214816,1.8
11001007,1.8
4111553,1.8
11012378,1.8
44112126,1.8
1212424,1.8
4111381,3.5
910017,3.5
385970,1.8
1001771,1.8
1101653,1.8
2000878,1.8
4114798,3.6
11012078,1.8
4114990,3.5
910011,1.8
11001809,1.8
1107273,1.8
11001841,1.8
1011978,1.8
11000841,5.2
4114799,1.8
11001807,1.8
121927,1.8
414192,1.8
9114795,3.5
11001804,1.8
110011957,1.8
11000784,1.8
11002091,1.8
41111100,1.8
11001960,1.8
4114756,1.8
110005086,1.8
92130,1.8
878247,1.8
