ID,TOTAL HOURS
11000898,15.4
1210644,10.1
14002684,14.5
462379422,9.4
1211823,9.4
109225185,9.3
1210246,15.7
2001198,9.3
1212220,15.4
1209528,15.8
11001667,14.6
931844,16.0
11000516,11.3
953276,9.3
1211312,15.6
14000115,15.3
2003624,15.4
4111175,14.3
905051,14.3
1212009,15.3
1214467,15.1
11005086,14.2
4112395,14.8
1212178,10.6
1211612,15.2
63524,15.3
11001621,4.5
11009511,8.9
11008121,15.1
11000641,15.0
11002043,14.1
2004201,12.9
926163,12.5
2007624,7.8
11001771,14.7
11000873,13.7
4111100,14.9
1211641,13.5
11001678,11.8
11005897,3.6
11008518,10.0
4114713,6.4
1208144,8.5
11006143,5.1
901926,11.4
11002184,2.2
11001124,6.3
4114795,6.3
11006287,6.0
11007273,4.1
11001624,6.0
14002479,5.8
907409,5.8
4115843,2.4
7000878,5.3
11012070,4.3
11007001,4.2
11000637,3.8
4112126,2.4
11000528,2.9
