ID,TOTAL HOURS
1211281,10.5
63524,64.2
1208144,70.5
1211641,66.7
1212220,66.0
11001246,21.9
11002184,55.3
2008415,49.3
926163,62.8
953276,71.3
1212009,69.0
1210246,72.3
1211312,46.5
14000115,65.4
2003624,71.3
11006287,60.3
2007624,52.6
2001198,45.2
11000675,49.5
1211823,55.3
462379422,55.3
11000348,45.9
11001124,35.7
11001764,37.8
11002043,40.1
2001511,47.0
11001970,46.1
11001770,64.2
1211635,23.1
4115843,45.8
4116254,35.7
1212178,29.7
11006143,40.9
1211660,32.9
1214316,42.5
11003255,45.1
11001891,28.0
1211612,51.9
11008121,55.7
1211452,32.7
4112126,31.2
11001678,49.2
14001180,42.9
11009054,34.4
4113419,18.8
14000929,39.1
1214402,21.6
1214025,2.5
11001685,36.0
11000898,67.1
1211100,27.5
1214026,46.2
901926,57.0
11005897,7.4
11000528,39.2
11002329,26.0
11001667,52.4
7000878,61.7
11001730,54.5
11001690,49.4
11000864,32.1
11001883,43.8
1212241,25.3
11001621,38.7
11012070,39.0
1212104,24.7
4112395,66.7
1210644,43.3
1212927,28.3
1214571,5.0
11001889,39.3
11000431,5.6
67055,2.0
11009227,9.5
1212169,54.6
11000873,25.0
931844,75.7
11000420,24.7
907780,31.7
2007453,36.7
2003646,38.3
11008518,22.8
905051,50.3
931790,47.6
4111175,62.7
1214467,74.9
11001329,5.4
4114713,39.7
4111492,36.1
4111053,29.1
11001703,37.7
11005086,30.8
2008135,30.7
4111100,69.1
11001771,65.2
11001136,1.7
931616,36.7
1100402,0.0
11007072,50.2
4114192,29.0
11001999,24.0
11001624,36.3
11002284,28.7
4112276,34.4
11000641,38.9
1210307,12.3
931781,31.6
1210365,17.0
1214632,21.5
1214110,4.7
11008402,12.6
1210393,6.8
2004201,54.7
1209528,47.6
1632194,0.0
14002684,41.0
14002497,2.7
907409,31.0
109225185,58.2
1211565,34.8
1826389878240401,2.1
305365280,15.8
11009511,44.0
11000516,64.1
2002047,10.4
4114795,31.4
2001993,1.2
14002479,31.9
11000637,30.9
121214801,0.0
11000932,30.5
905287,3.6
11007001,24.3
7385400808,0.3
11007273,34.9
11007426,6.8
4111318,13.2
4112223,15.7
32786,0.1
363682,7.8
45665,0.6
1209914,11.5
3315611,0.3
83176,0.0
11001715,8.0
97862,0.1
948588,0.6
337332,0.1
927468,1.3
769607,0.1
937090,13.4
721228,0.1
38069,0.0
33393,0.0
69859051,0.2
2639773,0.1
32776,0.1
6389339,0.0
577625,0.1
51985,0.6
4090878,0.3
11007331,8.1
67805,0.1
878007,0.6
8755010,0.1
33950,0.0
8550088,0.0
8609111,0.1
8602183,0.3
8714133,0.1
8002836,0.3
88362,0.3
1635182,0.0
70924,0.0
8920171,0.2
16028388,1.2
5197286,1.4
5597802,0.9
11008374,5.2
385971,3.5
44115843,1.8
1214816,1.8
11001007,1.8
4111553,1.8
11012378,1.8
44112126,1.8
1212424,1.8
4111381,3.5
910017,3.5
385970,1.8
1001771,1.8
1101653,1.8
2000878,1.8
4114798,3.6
11012078,1.8
4114990,3.5
910011,1.8
11001809,1.8
1107273,1.8
11001841,1.8
1011978,1.8
11000841,5.2
4114799,1.8
11001807,1.8
121927,1.8
414192,1.8
9114795,3.5
11001804,1.8
110011957,1.8
11000784,1.8
11002091,1.8
41111100,1.8
11001960,1.8
4114756,1.8
110005086,1.8
92130,1.8
878247,1.8
