ID,TOTAL HOURS
1211281,10.5
63524,48.9
1208144,62.0
1211641,53.2
1212220,50.7
11001246,21.9
11002184,53.0
2008415,49.3
926163,50.3
953276,61.9
1212009,53.7
1210246,56.6
1211312,30.8
14000115,50.1
2003624,55.9
11006287,54.2
2007624,44.9
2001198,36.0
11000675,49.5
1211823,45.9
462379422,45.9
11000348,45.9
11001124,29.4
11001764,37.8
11002043,26.0
2001511,47.0
11001970,46.1
11001770,64.2
1211635,23.1
4115843,43.4
4116254,35.7
1212178,19.1
11006143,35.8
1211660,32.9
1214316,42.5
11003255,45.1
11001891,28.0
1211612,36.7
11008121,40.6
1211452,32.7
4112126,28.8
11001678,37.4
14001180,42.9
11009054,34.4
4113419,18.8
14000929,39.1
1214402,21.6
1214025,2.5
11001685,36.0
11000898,51.7
1211100,27.5
1214026,46.2
901926,45.6
11005897,3.9
11000528,36.4
11002329,26.0
11001667,37.8
7000878,56.4
11001730,54.5
11001690,49.4
11000864,32.1
11001883,43.8
1212241,25.3
11001621,34.2
11012070,34.8
1212104,24.7
4112395,51.8
1210644,33.2
1212927,28.3
1214571,5.0
11001889,39.3
11000431,5.6
67055,2.0
11009227,9.5
1212169,54.6
11000873,11.3
931844,59.8
11000420,24.7
907780,31.7
2007453,36.7
2003646,38.3
11008518,12.8
905051,36.0
931790,47.6
4111175,48.4
1214467,59.8
11001329,5.4
4114713,33.3
4111492,36.1
4111053,29.1
11001703,37.7
11005086,16.6
2008135,30.7
4111100,54.2
11001771,50.5
11001136,1.7
931616,36.7
1100402,0.0
11007072,50.2
4114192,29.0
11001999,24.0
11001624,30.3
11002284,28.7
4112276,34.4
11000641,23.9
1210307,12.3
931781,31.6
1210365,17.0
1214632,21.5
1214110,4.7
11008402,12.6
1210393,6.8
2004201,41.8
1209528,31.7
1632194,0.0
14002684,26.5
14002497,2.7
907409,25.2
109225185,48.9
1211565,34.8
1826389878240401,2.1
305365280,15.8
11009511,35.1
11000516,52.8
2002047,10.4
4114795,25.1
2001993,1.2
14002479,26.1
11000637,27.0
121214801,0.0
11000932,30.5
905287,3.6
11007001,20.1
7385400808,0.3
11007273,30.8
11007426,6.8
4111318,13.2
4112223,15.7
32786,0.1
363682,7.8
45665,0.6
1209914,11.5
3315611,0.3
83176,0.0
11001715,8.0
97862,0.1
948588,0.6
337332,0.1
927468,1.3
769607,0.1
937090,13.4
721228,0.1
38069,0.0
33393,0.0
69859051,0.2
2639773,0.1
32776,0.1
6389339,0.0
577625,0.1
51985,0.6
4090878,0.3
11007331,8.1
67805,0.1
878007,0.6
8755010,0.1
33950,0.0
8550088,0.0
8609111,0.1
8602183,0.3
8714133,0.1
8002836,0.3
88362,0.3
1635182,0.0
70924,0.0
8920171,0.2
16028388,1.2
5197286,1.4
5597802,0.9
11008374,5.2
385971,3.5
44115843,1.8
1214816,1.8
11001007,1.8
4111553,1.8
11012378,1.8
44112126,1.8
1212424,1.8
4111381,3.5
910017,3.5
385970,1.8
1001771,1.8
1101653,1.8
2000878,1.8
4114798,3.6
11012078,1.8
4114990,3.5
910011,1.8
11001809,1.8
1107273,1.8
11001841,1.8
1011978,1.8
11000841,5.2
4114799,1.8
11001807,1.8
121927,1.8
414192,1.8
9114795,3.5
11001804,1.8
110011957,1.8
11000784,1.8
11002091,1.8
41111100,1.8
11001960,1.8
4114756,1.8
110005086,1.8
92130,1.8
878247,1.8
